Cliente,Folder ID Drive,Servicios,Periodo Comparación
Lider CATEX,[PENDIENTE],SEO,Año vs Año anterior
Carters,[PENDIENTE],"PAID,EMAIL",Año vs Año anterior
Cigar Country,[PENDIENTE],SEO,Mes vs mes anterior
Colgram - Colloky Chile,[PENDIENTE],SEO,Mes vs mes anterior
Atika,[PENDIENTE],"PAID,EMAIL",Mes Vs Año anterior
Cordiez,[PENDIENTE],"SEO,EMAIL",
Chaide Chaide,[PENDIENTE],"SEO,PAID",Mes vs mes anterior
Pacífico,[PENDIENTE],PAID,
SIMMONS,[PENDIENTE],PAID,Año vs Año anterior
Tramontina,[PENDIENTE],"SEO,PAID,EMAIL",Mes vs mes anterior
Cummins,[PENDIENTE],"SEO,PAID,EMAIL","Mes completo vs mes anterior (Paid) Año vs año anterior + mes completo vs mes anterior (SEO)"
Josimar,[PENDIENTE],"SEO,PAID,EMAIL",Mes vs mes anterior
Profar,[PENDIENTE],"SEO,PAID",Mes Vs Mes anterior
Farmacias Ahumada,[PENDIENTE],SEO,Mes vs año anterior
IUSA,[PENDIENTE],SEO,Mes Vs Año anterior
Solidez Empresarial - CAT,[PENDIENTE],"SEO,EMAIL",Mes Vs Mes anterior
Solidez Empresarial - Coliseum,[PENDIENTE],"SEO,EMAIL",Mes Vs Mes anterior
Solidez Empresarial - Converse,[PENDIENTE],"SEO,EMAIL",Mes Vs Mes anterior
Solidez Empresarial - New Balance,[PENDIENTE],"SEO,EMAIL",Mes Vs Mes anterior
Solidez Empresarial - Steve Madden,[PENDIENTE],SEO,Nuevo
Solidez Empresarial - Merrel,[PENDIENTE],SEO,Nuevo
Kayser,[PENDIENTE],"SEO,EMAIL",Año vs Año anterior
Tienda Inglesa,[PENDIENTE],PAID,Mes Vs Mes anterior
Construmart,[PENDIENTE],"SEO,PAID",Mes vs mes anterior
Known online,[PENDIENTE],"SEO,EMAIL",Mes vs mes anterior
Komatsu,[PENDIENTE],SEO,Mes vs mes anterior
Lider SOD,[PENDIENTE],SEO,Año vs Año anterior
Tommy Hilfiger EC,[PENDIENTE],"SEO,EMAIL",Mes vs mes anterior
Animal care,[PENDIENTE],"SEO,PAID",Vs mes anterior
Anura Argentina,[PENDIENTE],"SEO,PAID,EMAIL",Vs mes anterior
Anura Peru,[PENDIENTE],"SEO,PAID",Vs mes anterior
Clinical Market,[PENDIENTE],"SEO,PAID",Mes vs mes anterior
Colgram - Opaline Chile,[PENDIENTE],SEO,Mes vs mes anterior
LG Panamá,[PENDIENTE],SEO,Vs mes anterior y año anterior
121 - Proteggo,[PENDIENTE],PAID,Mes
Carnes Valledor,[PENDIENTE],"SEO,PAID,EMAIL",Mes vs mes anterior
Comercial Depor - Coliseum,[PENDIENTE],SEO,Mes vs mes anterior
Comercial Depor - Converse,[PENDIENTE],SEO,Mes vs mes anterior
Comercial Depor - Fila,[PENDIENTE],SEO,Mes vs mes anterior
Comercial Depor - Umbro,[PENDIENTE],SEO,Mes vs mes anterior
Manar Molderil,[PENDIENTE],"PAID,EMAIL",Mes vs mes anterior
Nacional Librería,[PENDIENTE],SEO,Mes Vs Mes anterior
O'Neill,[PENDIENTE],"SEO,EMAIL,REDES",Año vs Año anterior
121 - CELA,[PENDIENTE],PAID,Vs mes anterior
